Trial,Deck Choice,Reward,Penalty,Net Reward,Total Score,Trial Duration (s),Start Time
1,A,50,0,50,2050,0.008994102478027344,15:40:00
2,B,100,-1250,-1150,900,0.008994579315185547,15:40:04
3,C,50,0,50,950,0.007994890213012695,15:40:08
4,D,50,0,50,1000,0.007995128631591797,15:40:13
5,C,50,0,50,1050,0.007993936538696289,15:40:18
