Trial,Deck Choice,Reward,Penalty,Net Reward,Total Score,Reaction Time (s),Start Time
1,1,100,0,100,2100,0.370225,22:50:14:770132
2,4,50,0,50,2150,3.53664,22:50:17:649425
3,3,50,0,50,2200,0.309511,22:50:23:694446
4,2,100,0,100,2300,0.263087,22:50:26:513331
